frage,option0,option1,option2,option3,richtige_option,quelle
Welche Pflanze wird traditionell zur Förderung eines gesunden Schlafs eingesetzt?,Brennnessel,Passionsblume,Thymian,Salbei,1,https://pubmed.ncbi.nlm.nih.gov/15693785/
Welche Wirkung wird dem Blauen Lotus (Nymphaea caerulea) zugeschrieben?,Beruhigend und stimmungsaufhellend,Appetitanregend,Entzündungsfördernd,Erhöhter Puls,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3250294/
Welche bekannte Heilpflanze enthält den Wirkstoff Hypericin?,Beifuß,Johanniskraut,Lavendel,Wermut,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4279288/
Wofür wird Lavendel traditionell eingesetzt?,Zur Förderung der Konzentration,Zur Beruhigung und Angstlösung,Zur Blutdrucksteigerung,Zur Anregung des Appetits,1,https://pubmed.ncbi.nlm.nih.gov/22612017/
Welches ätherische Kraut wird oft zur energetischen Reinigung verwendet?,Minze,Rosmarin,Beifuß,Basilikum,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8867447/
Welche Frequenz wird mit der sogenannten „Schumann-Resonanz“ der Erde assoziiert?,1 Hz,"7,83 Hz",432 Hz,528 Hz,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7301736/
Welche Frequenz wird häufig als „heilende Frequenz“ bezeichnet?,440 Hz,528 Hz,256 Hz,120 Hz,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6021070/
Welche Wirkung werden Binaural Beats nachgesagt?,Verursachen Halluzinationen,Fördern Konzentration und Entspannung,Erhöhen den Blutdruck,Reduzieren die Sehkraft,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4428073/
Welche Frequenz wird mit dem Zustand tiefer Meditation assoziiert?,Beta (13–30 Hz),Alpha (8–13 Hz),Theta (4–7 Hz),Gamma (>30 Hz),2,https://pubmed.ncbi.nlm.nih.gov/16781592/
Was ist das Ziel von Frequenztherapie?,Die Kontrolle von Träumen,Die Steuerung des Stoffwechsels,Die Harmonisierung körperlicher Schwingungen,Die Verbesserung des Sehens,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4654787/
